,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,Genero
3504,614479,Insidious: The Red Door,6.85,1161,Released,2023-07-05,185582093,107,False,16000000,en,Insidious: The Red Door,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",305.896,It ends where it all began.,"Horror, Mystery, Thriller","Blumhouse Productions, Stage 6 Films, Screen Gems, Oren Peli Productions, Solana Films",United States of America,English,"['Horror', 'Mystery', 'Thriller']"
2976,884605,No Hard Feelings,7.166,1401,Released,2023-06-15,82995526,104,False,45000000,en,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",298.801,Pretty. Awkward.,"Comedy, Romance","Excellent Cadaver, Odenkirk Provissiero Entertainment, Columbia Pictures, Saks Picture Company",United States of America,English,"['Comedy', 'Romance']"
4917,900667,One Piece Film Red,7.346,733,Released,2022-08-06,150797338,115,False,0,ja,ONE PIECE FILM RED,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",293.869,An almighty voice. With fiery red locks.,"Animation, Adventure, Action, Fantasy","Toei Animation, Shueisha, Toei Company, Fuji Television Network, Bandai, Bandai Namco Entertainment, ADK Emotions, dentsu",Japan,Japanese,"['Animation', 'Adventure', 'Action', 'Fantasy']"
5091,1083862,Resident Evil: Death Island,7.612,695,Released,2023-06-22,53929,91,False,0,ja,バイオハザード：デスアイランド,"In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.",264.731,Destinies intertwined. A world gone mad.,"Animation, Action, Horror","CAPCOM, TMS Entertainment, Quebico, UNLIMITED PRODUCE by TMS, Sony Pictures, Sammy, Robot Communications",Japan,English,"['Animation', 'Action', 'Horror']"
62149,893723,PAW Patrol: The Mighty Movie,7.679,14,Released,2023-09-21,47400000,92,False,30000000,en,PAW Patrol: The Mighty Movie,"A magical meteor crash-lands in Adventure City, gives the PAW Patrol pups superpowers, and transforms them into The Mighty Pups. When the PAW Patrol's archrival Humdinger breaks out of jail and teams up with a mad scientist to steal the powers for themselves, the Mighty Pups must save Adventure City and stop the supervillains before it's too late.",257.355,Unleash your powers.,"Animation, Family, Comedy, Action, Science Fiction","Nickelodeon Movies, Spin Master, Paramount, Mikros Image","Canada, United States of America",English,"['Animation', 'Family', 'Comedy', 'Action', 'Science Fiction']"
33774,979275,Mob Land,5.8,37,Released,2023-08-04,0,111,False,0,en,Mob Land,"A sheriff tries to keep the peace when a desperate family man violently robs a pill mill with his brother-in-law, alerting an enforcer for the New Orleans mafia.",242.638,Crime. Family.,"Action, Crime, Thriller","308 Enterprises, Three Point Capital, BondIt Media Capital, Grandave Capital","Canada, United States of America",English,"['Action', 'Crime', 'Thriller']"
282,76600,Avatar: The Way of Water,7.654,9830,Released,2022-12-14,2320250281,192,False,460000000,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",241.285,Return to Pandora.,"Science Fiction, Adventure, Action","20th Century Studios, Lightstorm Entertainment",United States of America,English,"['Science Fiction', 'Adventure', 'Action']"
96583,1167913,Piglady,4.0,7,Released,2023-08-22,0,99,False,0,en,Piglady,"Inspired by true events. Filmed at the murder scene. A group of friends, while on a Christmas vacation to a cabin in Southern Oregon, learn of a rumor of an antisocial woman who allegedly murders people and feeds her victims to pigs.",232.921,INSPIRED BY TRUE EVENTS.,"Horror, Crime","Preacher Boys Productions, AJ Media Magic",United States of America,English,"['Horror', 'Crime']"
2344,934433,Scream VI,7.2,1836,Released,2023-03-08,168961389,123,False,35000000,en,Scream VI,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",231.85,New York. New rules.,"Horror, Crime, Thriller","Radio Silence, Project X Entertainment, Spyglass Media Group, Paramount",United States of America,English,"['Horror', 'Crime', 'Thriller']"
575,315162,Puss in Boots: The Last Wish,8.266,6394,Released,2022-12-07,482129780,103,False,90000000,en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",221.49,Live each adventure like it's your last.,"Animation, Family, Fantasy, Adventure, Comedy, Action","DreamWorks Animation, Universal Pictures",United States of America,"English, Spanish","['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Action']"
3557,675445,PAW Patrol: The Movie,7.425,1142,Released,2021-08-09,144327371,86,False,26000000,en,PAW Patrol: The Movie,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,217.613,Our fate is in their paws.,"Animation, Family, Adventure, Comedy","Spin Master, Nickelodeon Movies, Paramount, Mikros Image, Elevation Pictures",United States of America,English,"['Animation', 'Family', 'Adventure', 'Comedy']"
5715,496450,"Miraculous: Ladybug & Cat Noir, The Movie",7.8,593,Released,2023-07-05,36010829,107,False,86000000,fr,Miraculous - le film,"A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",212.626,The fate of the world is in their hands.,"Animation, Music, Family, Action, Romance, Fantasy, Comedy","ON Animation Studios, The Awakening Production, SND, Zagtoon, Method Animation, Fantawild, Mediawan","China, France",French,"['Animation', 'Music', 'Family', 'Action', 'Romance', 'Fantasy', 'Comedy']"
7549,709631,Cobweb,6.911,394,Released,2023-07-19,5569593,88,False,0,en,Cobweb,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness.",208.069,"Sooner or later, family secrets creep out.",Horror,"Point Grey Pictures, Vertigo Entertainment, Lionsgate",United States of America,English,['Horror']
46189,869855,H4Z4RD,6.182,22,Released,2022-07-20,0,87,False,0,nl,H4Z4RD,"Noah loves his girlfriend Lea and their daughter Zita dearly, just about as much as his extremely pimped car with vanity plate “H4Z4RD”. When his cousin offers him a seemingly simple job as a driver, it soon turns into an unlikely and nerve-racking race through Antwerp, which can only result in the end of Noah, his family or the car…",198.952,Need for Speed,"Action, Comedy",Potemkino,Belgium,Dutch,"['Action', 'Comedy']"
2193,758323,The Pope's Exorcist,7.144,1971,Released,2023-04-05,70204828,103,False,18000000,en,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",196.08,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.","Horror, Thriller","Screen Gems, 2.0 Entertainment, Jesus & Mary, Worldwide Katz, Loyola Productions, FFILME.RO","Spain, United Kingdom, United States of America","English, Fulah, Spanish, Latin, German, Italian","['Horror', 'Thriller']"
20177,991708,El Conde,6.429,85,Released,2023-09-08,0,112,False,0,es,El Conde,"After living for over two centuries, Augusto Pinochet is a vampire ready to die… but the vultures around him won't let him go without one last bite.",195.832,Things are about to get bloody...,"Comedy, Horror, Fantasy",Fabula,Chile,"English, French, Spanish","['Comedy', 'Horror', 'Fantasy']"
